,id,author_id,edit_history_tweet_ids,created_at,text
76,1598312254541365250,759251,['1598312254541365250'],2022-12-01T13:45:11.000Z,"Prices at the pump continue to plunge, dropping the US average for gasoline below where it was when Russia invaded Ukraine. https://t.co/USY6WowTGi"
77,1598311661294731264,759251,['1598311661294731264'],2022-12-01T13:42:49.000Z,"The founder of the crypto exchange FTX, Samuel Bankman-Fried, says his estimated wealth of $26 billion has fallen to $100,000 in the last month since filing for bankruptcy. The collapse of FTX is under investigation.
For more on this story, watch here: https://t.co/kT4GAw2oOW"
78,1598308491717902336,759251,['1598308491717902336'],2022-12-01T13:30:14.000Z,"Stéphanie Frappart will make history as the first woman to referee a men’s World Cup match.
https://t.co/3k2tAiLIkC"
79,1598304671143268355,759251,['1598304671143268355'],2022-12-01T13:15:03.000Z,"US President Joe Biden will spend Thursday taking part in a flurry of events as part of his first state visit since taking office, welcoming the arrival of French President Emmanuel Macron and his spouse, Brigitte Macron. https://t.co/B5B5TzwhZm"
80,1598300933317877762,759251,['1598300933317877762'],2022-12-01T13:00:12.000Z,"The moment takes on extra meaning because of how long the Bidens have waited to hold a state dinner -- so long, in fact, that many Democrats worried they were squandering it as a valuable diplomatic tool. https://t.co/uDlgemJe8l"
81,1598297141654573057,759251,['1598297141654573057'],2022-12-01T12:45:08.000Z,"With the Mauna Loa volcano continuing to erupt on Hawaii's Big Island, local officials and residents are keeping an eye on the lava flow as it creeps closer to a major roadway. https://t.co/e0M16vpKIZ"
82,1598293365329633281,759251,['1598293365329633281'],2022-12-01T12:30:07.000Z,"“I’ve literally had tenants come up to me and tell me they see a real savings in their electricity use.”  

This Brooklyn company will make your home greener with no upfront costs. https://t.co/rQ8rlpseWk https://t.co/pmkzVfyBUQ"
83,1598289599499059200,759251,['1598289599499059200'],2022-12-01T12:15:09.000Z,"Here are 5️⃣ things to know for December 1. 

1️⃣ Ukraine
2️⃣ Student loan forgiveness plan
3️⃣ Trump’s taxes
4️⃣ Title 42 border policy
5️⃣ Uvalde lawsuit https://t.co/1RjE0b25tS"
84,1598285843482959873,759251,['1598285843482959873'],2022-12-01T12:00:14.000Z,A man seen punching an elderly Asian woman more than 100 times and stomping on her body in a surveillance video in New York has been sentenced to more than 17 years in state prison https://t.co/GkQt3uqtK8
85,1598282014767153152,759251,['1598282014767153152'],2022-12-01T11:45:01.000Z,"The buildup to the US v Iran World Cup game focused on political tensions, but the players themselves put on a show of solidarity, with US players embracing Iranian players after the match. https://t.co/9MHvVzqKqM https://t.co/4KzrkKivRv"
86,1598278319748915201,759251,['1598278319748915201'],2022-12-01T11:30:20.000Z,An Ohio man accused along with his family members of the 2016 massacre of another family was found guilty of multiple murder charges. https://t.co/NspLR6npgr
87,1598274484754079745,759251,['1598274484754079745'],2022-12-01T11:15:06.000Z,The Trivago CEO says vacationers have already begun to change their travel habits in response to rising costs around the world. https://t.co/RutqaA3o6I https://t.co/pbQidG7RU5
88,1598270720403972097,759251,['1598270720403972097'],2022-12-01T11:00:08.000Z,"With the cost of living going up again, it's been an expensive year -- and these are the world's most expensive cities to live in in 2022. https://t.co/bMIUZZO0VP"
89,1598266927197179905,759251,['1598266927197179905'],2022-12-01T10:45:04.000Z,"Officials are bracing for an influx of migrants trying to cross into the United States when the controversial public health authority, known as Title 42, ends in three weeks
https://t.co/23FQZX8nUe"
90,1598263165472628736,759251,['1598263165472628736'],2022-12-01T10:30:07.000Z,"As a campus community gathered to pay their respects for four University of Idaho students killed on November 13, officials clarified additional details in their investigation to find the culprit responsible. https://t.co/Ijs0SqiIor"
91,1598259376527122433,759251,['1598259376527122433'],2022-12-01T10:15:04.000Z,"Former child reality star Collin Gosselin, now 18, says he hasn’t been in contact with his mother or the bulk of his siblings for years. https://t.co/1iN7rjTBSX"
92,1598255656544485376,759251,['1598255656544485376'],2022-12-01T10:00:17.000Z,"""By bombing the power grid meant to sustain Ukrainians through dark, cold months, Vladimir Putin is inflicting some of the most barbaric wartime conditions experienced by civilians in Europe for decades,"" writes @StCollinson | Analysis https://t.co/AdmW0CYtjZ"
93,1598251829170683907,759251,['1598251829170683907'],2022-12-01T09:45:04.000Z,"Mexican boxer Saul ""Canelo"" Álvarez has apologized to Lionel Messi, who he previously accused of disrespecting Mexico. https://t.co/Mj8Ns9Pz8N"
94,1598248049993728001,759251,['1598248049993728001'],2022-12-01T09:30:03.000Z,"Elon Musk hosted a flashy recruiting event for yet another one of his companies: Neuralink, the startup proposing implants that connect your brain to a computer. https://t.co/VzGaDoVGyr"
95,1598244299379990528,759251,['1598244299379990528'],2022-12-01T09:15:09.000Z,"Survivors of the fatal mass shooting at Robb Elementary School in Uvalde, Texas, have filed a $27 billion class action lawsuit against multiple law enforcement agencies in Texas, according to court documents. https://t.co/Z8i02CIEdi"
96,1598240559860260864,759251,['1598240559860260864'],2022-12-01T09:00:18.000Z,Art collective MSCHF's latest project dares the Miami fair's wealthiest attendees to reveal themselves. https://t.co/5r4zQZXYrK
97,1598236730007719936,759251,['1598236730007719936'],2022-12-01T08:45:04.000Z,"Current students and an advocacy group are suing Yale University and its governing body, alleging “systemic discrimination against students with mental health disabilities,” according to a lawsuit filed in Connecticut federal court. https://t.co/vsCsjUN9Qh"
98,1598232977284145152,759251,['1598232977284145152'],2022-12-01T08:30:10.000Z,"A nine-figure settlement between the estate of Jeffrey Epstein and the US Virgin Islands has been signed, according to the islands’ attorney general. https://t.co/ngBjnMvUwR"
99,1598229189848895489,759251,['1598229189848895489'],2022-12-01T08:15:07.000Z,"Drake gifted DJ Khaled four toilet bowls worth $20,000 each, and DJ Khaled seemed pretty pleased https://t.co/P02hiqUz1E"
